name2	chrom	start	end
Rbbp8	chr18	11655348	11658348
Rbpj	chr5	53588345	53591345
Ren1	chr1	133348673	133351673
Rest	chr5	77263493	77266493
Retn	chr8	3653769	3656769
Rev3l	chr10	39730159	39733159
Rin1	chr19	5048807	5051807
Rin2	chr2	145784115	145787115
Rnasel	chr1	153747425	153750425
Rock2	chr12	16892977	16895977
Rps6ka3	chrX	159253781	159256781
Sap18	chr14	57796188	57799188
Sdccag8	chr1	176812659	176815659
Slc9a1	chr4	133367734	133370734
Slfn4	chr11	83173185	83176185
Smc2	chr4	52437220	52440220
Smc3	chr19	53598395	53601395
Snrk	chr9	122115265	122118265
Spata13	chr14	60632704	60635704
Spg20	chr3	55110107	55113107
Src	chr2	157422292	157425292
Stat4	chr1	52006239	52009239
Stk16	chr1	75208828	75211828
Tac4	chr11	95259528	95262528
Tax1bp1	chr6	52711728	52714728
Tbc1d8b	chrX	139682995	139685995
Tcp1	chr17	12914328	12917328
Thoc1	chr18	9956179	9959179
Tlr4	chr4	66825550	66828550
Tpr	chr1	150390837	150393837
Trerf1	chr17	47228229	47231229
Trp53inp1	chr4	11154440	11157440
Tyro3	chr2	119797513	119800513
Unc5c	chr3	141463563	141466563
Usp9x	chrX	13069497	13072497
Vav1	chr17	57277099	57280099
Vrk1	chr12	106008262	106011262
Yme1l1	chr2	23154504	23157504
Ythdc2	chr18	44826664	44829664
Zbtb1	chr12	76368519	76371519
Zfp207	chr11	80381278	80384278
Hdgfrp3	chr7	81933459	81936459
Dnahc6	chr6	73220631	73223631
Ndnl2	chr7	64872040	64875040
Erbb2ip	chr13	103919586	103922586
Abcc5_1	chr16	20425394	20428394
Abcc5_2	chr16	20425394	20428394
Ddc_1	chr11	11897144	11900144
Ddc_2	chr11	11889408	11892408
Erc1_1	chr6	119847150	119850150
Erc1_2	chr6	119847150	119850150
Ifi202b_1	chr1	173981844	173984844
Ifi202b_2	chr1	173981844	173984844
Irak1_1	chrX	74022921	74025921
Irak1_2	chrX	74022921	74025921
Kif1b_1	chr4	149306698	149309698
Kif1b_2	chr4	149306698	149309698
Mefv_1	chr16	3717124	3720124
Mefv_2	chr16	3717124	3720124
Pifo_1	chr3	106013646	106016646
Pifo_2	chr3	106000497	106003497
Rabgap1l_1	chr1	160791938	160794938
Rabgap1l_2	chr1	160350571	160353571
Rffl_1	chr11	82870210	82873210
Rffl_2	chr11	82828043	82831043
Rims1_1	chr1	22805003	22808003
Rims1_2	chr1	22805003	22808003
Rwdd3_1	chr3	121170695	121173695
Rwdd3_2	chr3	121170695	121173695
Slc8a1_1	chr17	81737387	81740387
Slc8a1_2	chr17	81737387	81740387
Ttc5_1	chr14	50784520	50787520
Ttc5_2	chr14	50784520	50787520
Ttn_1	chr2	76981547	76984547
Ttn_2	chr2	76981547	76984547
Wnk1_1	chr6	120037655	120040655
Wnk1_2	chr6	120037655	120040655
Abcb7	chrX	104412846	104415846
Abce1	chr8	79710740	79713740
Adra1b	chr11	43835489	43838489
Alpk2	chr18	65392888	65395888
Als2	chr1	59236231	59239231
Ankk1	chr9	49426021	49429021
Anxa4	chr6	86792584	86795584
Ap3m1	chr14	21051442	21054442
Apbb2	chr5	66617817	66620817
Appl1	chr14	26969551	26972551
Arhgap10	chr8	77516907	77519907
Arhgap12	chr18	6135098	6138098
Arhgap44	chr11	65161961	65164961
Atm	chr9	53535671	53538671
Atrx	chrX	105928372	105931372
Avp	chr2	130581588	130584588
B4galt1	chr4	40853537	40856537
Bax	chr7	45465898	45468898
Bcl3	chr7	19821755	19824755
Birc2	chr9	7836057	7839057
Birc3	chr9	7872170	7875170
Braf	chr6	39724463	39727463
Brd4	chr17	32283123	32286123
Btk	chrX	134582140	134585140
Bub1	chr2	127830859	127833859
Cacna1c	chr6	119107495	119110495
Card9	chr2	26358559	26361559
Cask	chrX	13845556	13848556
Ccrl2	chr9	111056270	111059270
Cct6b	chr11	82763321	82766321
Cct8	chr16	87494869	87497869
Cd209d	chr8	3877499	3880499
Cd2ap	chr17	42875424	42878424
Cd36	chr5	17834896	17837896
Cdc14a	chr3	116423032	116426032
Cdc27	chr11	104549620	104552620
Cdk7	chr13	100729942	100732942
Cdkl5	chrX	160993681	160996681
Cdkn2a	chr4	89293619	89296619
Cenpj	chr14	56570846	56573846
Cep120	chr18	53743608	53746608
Cep57	chr9	13826107	13829107
Cep57l1	chr10	41808663	41811663
Chd2	chr7	73540746	73543746
Chd6	chr2	161108086	161111086
Chm	chrX	113184515	113187515
Chtf8	chr8	106892593	106895593
Clec4e	chr6	123288871	123291871
Clec5a	chr6	40584805	40587805
Clk1	chr1	58423088	58426088
Cxcl10	chr5	92347889	92350889
Dact2	chr17	14202831	14205831
Dars	chr1	128416416	128419416
Ddx23	chr15	98661889	98664889
Ddx3y	chrY	1285613	1288613
Ddx41	chr13	55535658	55538658
Ddx5	chr11	106787494	106790494
Ddx50	chr10	62650218	62653218
Dgkh	chr14	78731729	78734729
Dhx15	chr5	52189546	52192546
Dlgap5	chr14	47417407	47420407
Dmxl2	chr9	54500626	54503626
Dock10	chr1	80757553	80760553
Dync2h1	chr9	7176058	7179058
E4f1	chr17	24454392	24457392
Ecm1	chr3	95738569	95741569
Elmsan1	chr12	84193015	84196015
Enpp1	chr10	24711159	24714159
Erbb4	chr1	69107059	69110059
Fancg	chr4	43009301	43012301
Fasl	chr1	161787495	161790495
Fgd3	chr13	49308208	49311208
Fgd4	chr16	16559219	16562219
Fpr1	chr17	17882939	17885939
Gas1	chr13	60176535	60179535
Gnl3	chr14	31018131	31021131
Gpr33	chr12	52027063	52030063
H2-Aa	chr17	34286823	34289823
Haus7	chrX	73458029	73461029
Hk1	chr10	62339421	62342421
Hmgb1	chr5	149052057	149055057
Hnf1a	chr5	114970062	114973062
Ifnb1	chr4	88521794	88524794
Ikbke	chr1	131278563	131281563
Il10ra	chr9	45268149	45271149
Il19	chr1	130939115	130942115
Il1a	chr2	129308972	129311972
Il1b	chr2	129370139	129373139
Katnal2	chr18	77046296	77049296
Kcnma1	chr14	24003205	24006205
Kif5b	chr18	6240524	6243524
Magi3	chr3	104219406	104222406
Map3k12	chr15	102516004	102519004
Map3k14	chr11	103266401	103269401
Mat2a	chr6	72438556	72441556
Mki67	chr7	135715379	135718379
Ms4a2	chr19	11622719	11625719
Msh3	chr13	92354003	92357003
Myo1d	chr11	80779025	80782025
Nae1	chr8	104533637	104536637
Naip7	chr13	100316688	100319688
Nars	chr18	64515557	64518557
Nav1	chr1	135584355	135587355
Ncoa1	chr12	4476182	4479182
Ndc80	chr17	71525857	71528857
Net1	chr13	3917220	3920220
Nipbl	chr15	8443463	8446463
Nmrk2	chr10	81201037	81204037
Nox1	chrX	134110854	134113854
Npm1	chr11	33162206	33165206
Ntn1	chr11	68385826	68388826
Nudc	chr4	133545027	133548027
Olr1	chr6	129506165	129509165
P2rx3	chr2	85034834	85037834
Pax3	chr1	78196136	78199136
Paxbp1	chr16	91043379	91046379
Pex5l	chr3	33082060	33085060
Pias1	chr9	62979879	62982879
Pola1	chrX	93631155	93634155
Polk	chr13	96541579	96544579
Ppargc1b	chr18	61399412	61402412
Ppp1r8	chr4	132842169	132845169
Prg4	chr1	150465165	150468165
Ptn	chr6	36809179	36812179
Purb	chr11	6475076	6478076
Rad50	chr11	53706319	53709319
Ralgapa1	chr12	55820516	55823516
Rap1a	chr3	105800381	105803381
Rars	chr11	35833528	35836528
Rasa2	chr9	96630503	96633503
Rgs2	chr1	144003149	144006149
Rgs7	chr1	175491545	175494545
Rock1	chr18	10180792	10183792
Sectm1a	chr11	121080139	121083139
Serpine1	chr5	137071272	137074272
Slfn9	chr11	82990830	82993830
Smc5	chr19	23272897	23275897
Smchd1	chr17	71474343	71477343
Sp110	chr1	85602891	85605891
Spdl1	chr11	34832641	34835641
Srrt	chr5	137306674	137309674
Stk38	chr17	29006995	29009995
Suds3	chr5	117114993	117117993
Susd2	chr10	75643008	75646008
Suv39h2	chr2	3473986	3476986
Swi5	chr2	32287069	32290069
Tbc1d16	chr11	119227499	119230499
Tbc1d2	chr4	46649199	46652199
Tbc1d4	chr14	101608191	101611191
Tbk1	chr10	121585794	121588794
Thbd	chr2	148407188	148410188
Tlr7	chrX	167329571	167332571
Tnf	chr17	35201007	35204007
Tnfaip3	chr10	19014410	19017410
Tnfrsf12a	chr17	23676449	23679449
Tnfsf14	chr17	57193181	57196181
Tnip1	chr11	54961940	54964940
Top2a	chr11	99023189	99026189
Trib2	chr12	15815785	15818785
Trio	chr15	28024848	28027848
Trpm7	chr2	126875261	126878261
Ttbk1	chr17	46486675	46489675
Vax1	chr19	59169029	59172029
Vps4b	chr1	106795725	106798725
Zbtb38	chr9	96730675	96733675
Zbtb49	chr5	38219454	38222454
Zfp217	chr2	170130220	170133220
Zfyve26	chr12	79295282	79298282
