RefSeqAccession	GeneSymbol
NM_027890	Susd2
NM_028915	Lrrcc1
NM_181072	Myo1e
NM_173368	Chd6
NM_027721	Katnal2
NM_201232	Nipbl
NM_133729	2610018G03Rik
NM_027411	Spdl1
NM_027350	Nars
	Ipmk
NM_027120	Nmrk2
NM_026746	Nsmce2
NM_026677	Rab13
NM_026509	Murc
NM_026482	Atp2b1
NM_026352	Ppid
NM_026303	Alkbh8
NM_026110	Paxbp1
NM_001164569	Rffl
NM_025993	Mis12
NM_023294	Ndc80
NM_025844	Chordc1
NM_023239	Ndnl2
	Farsa
NM_025637	Rwdd3
NM_025479	Mplkip
NM_022724	Suv39h2
NM_021897	Trp53inp1
NM_053081	Fancg
NM_001146275	Iigp1
NM_001005868	Erbb2ip
	Pex5l
NM_021450	Trpm7
NM_001199275	Tnip1
NM_001077698	Fmnl1
NM_001204959	Retn
NM_198094	Brd4
NM_019994	Ralgapa1
NM_020009	Mtor
NM_019948	Clec4e
NM_019777	Ikbke
NM_019786	Tbk1
NM_019663	Pias1
NM_019671	Net1
NM_019499	Mad2l1
NM_018829	Ap3m1
	Foxo4
NM_019453	Mefv
NM_018794	Atp6ap1
NM_017466	Ccrl2
NM_021545	Naip7
NM_016896	Map3k14
	Ddx39b
NM_025816	Tax1bp1
NM_019418	Tnfsf14
NM_016681	Chek2
NM_015759	Fgd3
NM_153547	Gnl3
NM_013886	Hdgfrp3
NM_001038621	Rabgap1l
NM_134129	Prpf19
NM_013790	Abcc5
NM_013771	Yme1l1
NM_013752	Nbn
NM_013749	Tnfrsf12a
NM_012048	Polk
NM_012018	Cep110
NM_012008	Ddx3y
	Map4k2
NM_008580	Map3k5
NM_011946	Map3k2
NM_001163643	Map3k12
NM_008327	Ifi202b
NM_015751	Abce1
NM_011882	Rnasel
NM_011880	Rgs7
NM_011810	Faim
NM_001038604	Clec5a
NM_011778	Coro1b
NR_045038	Zfp207
NM_009530	Atrx
NM_001029844	Vrk1
NM_009501	Vax1
NM_011691	Vav1
NM_009481	Usp9x
NM_009472	Unc5c
NM_019392	Tyro3
NM_011652	Ttn
NM_011623	Top2a
NM_009397	Tnfaip3
NM_013693	Tnf
NM_021297	Tlr4
NM_009378	Thbd
NM_013686	Tcp1
	Hnf1a
NM_011496	Aurkb
NM_011494	Stk16
NM_001080966	Aurkc
NM_011487	Stat4
NM_009271	Src
NM_133741	Snrk
NM_001174079	Smarca4
NM_009210	Hltf
NM_011410	Slfn4
NM_016981	Slc9a1
NM_011406	Slc8a1
	Vps4b
NM_009140	Cxcl2
NM_009119	Sap18
NM_009072	Rock2
NM_009071	Rock1
NM_009061	Rgs2
NM_011264	Rev3l
NM_011263	Rest
NM_031192	Ren1
NM_009035	Rbpj
NM_009012	Rad50
NM_011224	Pygm
NM_011221	Purb
NM_008973	Ptn
NM_011198	Ptgs2
NM_011159	Prkdc
NM_008892	Pola1
	Plcb1
NM_008871	Serpine1
NM_008839	Pik3ca
NM_011076	Abcb1a
	Abcb4
	Enpp1
NM_011053	Pdcd11
NM_023662	Pcm1
NM_008781	Pax3
NM_008772	P2ry1
NM_011015	Orc1
NM_011012	Oprl1
NM_010948	Nudc
NM_008744	Ntn1
NM_008737	Nrp1
NM_001252261	Npm1
NM_008713	Nos3
NM_010881	Ncoa1
NM_177369	Myh8
NM_010855	Myh4
NM_010829	Msh3
NM_001081117	Mki67
NM_183151	Mid1
	Mcf2l
NM_008448	Kif5b
NM_008441	Kif1b
NM_001253361	Kcnma1
NM_008392	Irg1
NM_001129999	Cep250
NM_010558	Il5
NM_008364	Il1rap
NM_008363	Irak1
NM_008361	Il1b
NM_010554	Il1a
NM_008348	Il10ra
NM_010510	Ifnb1
NM_021274	Cxcl10
NM_010493	Icam1
NM_008317	Hyal1
NM_031165	Hspa8
NM_010442	Hmox1
NM_010439	Hmgb1
NM_001146100	Hk1
NM_010378	H2-Aa
NM_008176	Cxcl1
NM_008159	Gpr33
NM_022305	B4galt1
NM_008086	Gas1
NM_013521	Fpr1
NM_008039	Fpr2
NM_008017	Smc2
NM_001037997	Fert2
NM_013516	Ms4a2
NM_010177	Fasl
NM_010154	Erbb4
NM_010119	Ehd1
NM_007908	Eef2k
NM_007899	Ecm1
NM_007893	E4f1
	Ddx5
NM_001042620	Dhx15
NM_016672	Ddc
NM_007790	Smc3
NM_009971	Csf3
NM_009923	Cnp
NM_007714	Clk4
NM_001042634	Clk1
NM_007708	Cit
NM_018818	Chm
NM_009877	Cdkn2a
NM_009874	Cdk7
NM_007643	Cd36
NM_009847	Cd2ap
NM_009840	Cct8
NM_009839	Cct6b
NM_009826	Rb1cc1
	Cask
NM_009793	Camk4
NM_009791	Aspm
NM_001256002	Cacna1c
NM_009772	Bub1
NM_013482	Btk
NM_009765	Brca2
NM_033601	Bcl3
NM_007527	Bax
NM_009732	Avp
NM_007499	Atm
NM_009704	Areg
NM_007465	Birc2
	Birc3
NM_009686	Apbb2
	Anxa4
NM_007416	Adra1b
NM_007413	Adora2b
NM_007395	Acvr1b
NM_009592	Abcb7
NM_007378	Abca4
